sample,value,distance_to_centroid
PG_Al_3_Jul_B_r1,0.5735453843841288,NA
PG_Ac_3_Jul_A_r1,0.5563424112594172,NA
NR_Eg_0_Aug_A_r2,0.5330309267795246,NA
PG_Al_1_Aug_C_r3,0.5344709964938379,NA
PG_Al_6_Aug_A_r3,0.595429743938089,NA
PG_Al_6_Aug_B_r3,0.523146284020408,NA
PG_Al_6_Aug_C_r3,0.523130074000619,NA
PG_Al_3_Aug_C_r3,0.5346414604864479,NA
CI_Al_15_Aug_B_r3,0.7078644781833481,NA
CI_Al_6_Aug_B_r3,0.604195585459486,NA
CI_Al_10_Aug_B_r3,0.676908910330175,NA
CI_Al_15_May_A_r3,0.5322784642380658,NA
CI_Al_15_May_C_r3,0.5253043588004654,NA
SK_Al_10_Aug_A_r4,0.5664218910242265,NA
NR_Ac_3_Aug_C_r4,0.6557936479083483,NA
NR_Ac_10_Aug_B_r4,0.6646403186657657,NA
NR_Ac_6_Jul_B_r4,0.5465034282527366,NA
SK_Al_1_Jul_C_r4,NA,NA
SK_Al_3_Jul_C_r4,NA,NA
NR_Ac_6_Aug_B_r4,NA,NA
NR_Ac_15_Jul_C_r4,NA,NA
