input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
135131,126041,84853,78835,124667,77768,118731,74644,118731,74644,193375,158677
106219,96016,64243,58296,95707,58006,94051,57013,94051,57013,151064,136522
109139,93100,83687,73780,92993,73662,91945,72687,91945,72687,164632,159054
150799,133366,109045,94987,127720,90674,115878,82477,115878,82477,198355,177699
127627,120337,81370,77119,118912,75934,113872,72853,113872,72853,186725,168969
162224,149813,107897,99886,146922,97494,139277,92572,139277,92572,231849,196092
143322,127759,96202,84603,125540,82811,119998,79364,119998,79364,199362,177918
94729,88378,70129,65426,87239,64281,84855,62190,84855,62190,147045,138952
119813,109408,84217,75966,107055,74033,100738,69543,100738,69543,170281,155729
199977,183376,115390,106173,181193,104382,174243,100829,174243,100829,275072,247358
102675,91846,60561,53133,88736,50968,82327,47305,82327,47305,129632,120693
123084,101706,87419,71584,100174,70220,94209,65872,94209,65872,160081,112540
157610,143200,109557,99135,141590,97661,136323,93622,136323,93622,229945,204260
89490,78992,49412,45012,78898,44947,78104,44704,78104,44704,122808,121858
149436,131722,96055,84352,126521,80413,116404,74104,116404,74104,190508,176142
86381,75681,58652,51206,75251,50742,73589,49758,73589,49758,123347,107236
122673,103456,89104,74687,102383,73641,97476,69756,97476,69756,167232,132824
108844,93864,73164,62409,91318,60138,83562,54751,83562,54751,138313,116732
83996,78896,48527,45768,77435,44736,74371,43155,74371,43155,117526,106829
103479,95269,61320,56808,93646,55409,90637,53420,90637,53420,144057,132800
118420,107890,82633,76112,106921,75226,103385,73164,103385,73164,176549,162596
93731,85035,63964,57727,82605,55555,78072,52701,78072,52701,130773,118148
97702,90510,58278,54235,88731,52536,85084,50459,85084,50459,135543,127672
155360,132856,99032,84270,127297,80365,116167,72750,116167,72750,188917,162619
117085,106698,75424,68755,105073,67382,100733,64841,100733,64841,165574,147302
191272,177623,133134,123732,175909,122087,166007,115280,166007,115280,281287,207130
155080,118229,104396,78812,112340,73996,100065,66211,100065,66211,166276,139970
99166,89832,58467,52899,88173,51766,83602,48873,83602,48873,132475,108424
113829,102468,66050,59681,100167,57914,94839,54776,94839,54776,149615,129949
104333,96119,72413,67080,94834,65926,89130,61851,89130,61851,150981,117655
141497,129925,98202,89819,128542,88591,122305,84293,122305,84293,206598,164581
126062,106583,76909,64575,105693,63781,101367,61236,101367,61236,162603,140508
120457,106846,74885,66619,103137,63912,93251,58095,93251,58095,151346,130903
145609,133846,94029,87276,131911,85810,126021,82251,126021,82251,208272,187335
158630,145498,113579,104322,141776,100901,133320,95303,133320,95303,228623,206145
103143,88370,69250,58327,85045,55514,76376,49977,76376,49977,126353,107509
193851,182186,116288,109354,178721,106998,170465,102299,170465,102299,272764,241400
77677,65868,46468,38998,63578,37113,58919,34455,58919,34455,93374,84726
118364,109437,84610,79065,108265,78164,103389,74616,103389,74616,178005,146824
94925,72601,67983,51422,71812,50755,69954,49515,69954,49515,119469,111978
74653,69825,47153,44403,68244,43159,64992,41061,64992,41061,106053,94114
112154,100344,73113,63679,97833,61723,90977,57295,90977,57295,148272,133033
131684,117512,90835,80832,116183,79425,109820,74701,109820,74701,184521,139461
87368,79519,62940,55714,77775,54103,72209,50254,72209,50254,122463,106782
95587,83826,66403,57278,79724,54028,72219,48636,72219,48636,120855,107586
109092,99115,64677,58782,97915,57900,93660,55687,93660,55687,149347,131715
102337,89723,62036,54060,89268,53675,86903,52458,86903,52458,139361,118565
94582,83585,65533,58208,82012,56745,78075,54124,78075,54124,132199,111722
114582,105469,81356,74393,103876,73032,99873,70154,99873,70154,170027,153691
132373,118281,83033,74023,116783,72931,111070,69399,111070,69399,180469,136202
110149,98491,70381,62978,95973,61084,91702,58564,91702,58564,150266,138659
119466,104757,79935,68859,100094,65193,90184,58484,90184,58484,148668,127179
132110,123711,93308,87663,122014,85967,117998,83409,117998,83409,201407,187420
111246,100620,75499,66970,97816,64544,91817,60683,91817,60683,152500,144193
62827,57240,36828,33646,56439,33157,54161,31804,54161,31804,85965,75088
113721,97205,68175,57676,95779,56475,90848,53760,90848,53760,144608,111260
117259,106476,76981,70272,104835,69031,101263,66227,101263,66227,167490,155071
117858,103325,83385,72759,101665,71449,96703,68225,96703,68225,164928,145730
93727,84586,56764,51450,83574,50622,76780,46683,76780,46683,123463,112471
155898,137361,100127,87766,132071,83962,119923,76016,119923,76016,195939,177126
138238,123059,91540,81807,117277,77695,103798,69280,103798,69280,173078,153158
111623,102065,79045,72938,98555,70043,89954,64521,89954,64521,154475,145858
85374,75435,57161,51188,72796,48752,67452,45329,67452,45329,112781,103490
